Campaign report,,,,,,,,,,,,,,
01 December 2023 - 21 December 2023,,,,,,,,,,,,,,
Campaign status,Campaign,Currency code,Cost,CTR,Avg. CPC,Clicks,All conv.,Impr.,Bid strategy type,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / conv.
Enabled,unb-leadgen-physiotherapy-08/08/2023,INR,30923.64,6.76%,34.75,890,95.2,13171,Maximise conversions,5.73%,0,0,51.01,606.25
Enabled,unb-leadgen-generalyoga-whatsapp-18/10/23,INR,17691.97,1.1%,11.14,1588,111.85,144623,Maximise conversions,0%,0,0,0,0
Enabled,unb-leadgen-generalyoga-exactmatch-20/8/23,INR,68193.26,16.14%,40.49,1684,287.58,10431,CPC (enhanced),7.48%,0,0,125.99,541.25
Enabled,unb-leadgen-generalyoga-26/5/23,INR,295187.29,10.37%,63.8,4627,504.76,44601,Maximise Conversions (Target CPA),5.21%,0,0,241,1224.84
Enabled,unb-leadgen-weightloss-25/7/23,INR,15396.94,12.74%,46.24,333,30.85,2613,Maximise Conversions (Target CPA),5.41%,0,0,18,855.39
Enabled,unb-leadgen-stress management-7/7/23,INR,48461.9,10.27%,41.89,1157,106.45,11270,Maximise conversions,4.67%,0,0,54,897.44
Enabled,unb-leadgen-prenatal-29/5/23,INR,13754.92,14.45%,39.53,348,33.37,2409,Maximise Conversions (Target CPA),5.46%,0,0,19,723.94
Total: Campaigns,,INR,489609.92,4.64%,46.07,10627,1170.06,229118,,4.79%,0,0,509,961.91
Total: Account,,INR,516166.44,2.18%,15.49,33314,1748.48,1531647,,1.92%,377.6,0,912.6,565.6
Total: Search,,INR,489609.92,4.64%,46.07,10627,1170.06,229118,,4.79%,0,0,509,961.91
